Language,Folder,Filename,TTR,HL,MSL,FWF,HER,PVU,FK,PU,IIR,Gender
EN,EN-His,20.pdf,0.4615107048352177,0.3702189078662497,18.353200883002206,0.15077138849929875,0.002805049088359046,0.09933774834437085,-104.16922658448391,1.744046187154198,0.06472343355519852,M
EN,EN-His,21.pdf,0.6367614879649891,0.5076586433260394,16.321428571428573,0.22666666666666666,0.0019047619047619048,0.10714285714285714,-122.5846416849015,1.9693654266958425,0.12173913043478261,M
EN,EN-His,22.pdf,0.4385016025641026,0.3411458333333333,19.576470588235296,0.15581704308217878,0.0020876826722338203,0.11764705882352941,-94.7131224547511,1.1217948717948718,0.040048057669203045,M
EN,EN-His,23.pdf,0.3815686274509804,0.29205882352941176,18.117229129662523,0.18767726161369194,0.0019559902200488996,0.12788632326820604,-78.7904581548427,1.2352941176470587,0.05939198711495872,M
EN,EN-His,24.pdf,0.1943161406209905,0.10636386964331537,22.36441893830703,0.26244072273245694,0.006002761270184284,0.16355810616929697,44.481073207179605,2.0977675134719016,0.11170443065377399,M
EN,EN-His,25.pdf,0.22029192448040616,0.13215928922735207,22.591397849462364,0.24741808455308714,0.002749089828367635,0.16308243727598568,17.872365642576767,2.4908773599873077,0.10894745677354374,F
EN,EN-Psy,1.pdf,0.23554301833568406,0.12911911783561994,14.38929889298893,0.28499877840215,0.006718788174932812,0.11623616236162361,40.418475548478426,4.821130914219772,0.15728794949217675,M
EN,EN-Psy,2.pdf,0.29589371980676327,0.17701863354037267,16.41926345609065,0.22904423136405816,0.006031549644293226,0.1048158640226629,36.67503765417982,3.1746031746031744,0.12669376693766937,M
EN,EN-Psy,3.pdf,0.2329899119982829,0.13318308649924876,20.479120879120877,0.22253116011505272,0.004026845637583893,0.23736263736263735,30.639999455148853,2.31809401159047,0.11924119241192413,M
EN,EN-Psy,4.pdf,0.2785428698356286,0.17118317784688286,17.053030303030305,0.19893475366178429,0.003195739014647137,0.18181818181818182,37.0131578052852,0.873685769287724,0.11128860489882852,M
EN,EN-Psy,5.pdf,0.16130786239895603,0.09138362272084677,18.753908905506457,0.26384258351310713,0.003105184023011048,0.1556764106050306,27.204835565634227,3.0992858955305036,0.12206055261610818,F
EN,EN-Psy,6.pdf,0.2964211202054245,0.18648692023752206,19.718354430379748,0.3054676909173068,0.007983129989456243,0.12974683544303797,46.065261201647985,8.907077515647568,0.2524790236460717,F
EN,EN-Psy,7.pdf,0.22523799878468706,0.12872189588819122,19.322896281800393,0.31189009947891994,0.013263855992420654,0.1643835616438356,36.82892423994386,5.671460401053271,0.19198551052750737,F
EN,EN-Psy,8.pdf,0.19788337239860784,0.11634349030470914,27.075,0.3369711668014012,0.009161950956615468,0.20384615384615384,40.29476568825913,8.85006037360608,0.30310133429498737,F
EN,EN-Psy,9.pdf,0.20709832134292566,0.10848920863309353,20.048076923076923,0.3140303842716711,0.005719392314566577,0.1673076923076923,29.028763074156046,7.299760191846523,0.22681029323758228,F
EN,EN-Psy,10.pdf,0.2079798931825322,0.12608650120431458,15.809602649006623,0.3271969770371088,0.01065788198817944,0.09768211920529801,65.93924294368055,13.100848256361921,0.36366083445491254,M
EN,EN-Psy,11.pdf,0.24579780755176614,0.15030450669914738,14.900181488203266,0.3384492951341519,0.006139154160982265,0.0998185117967332,58.525566702993814,11.218026796589525,0.3157739846968805,F
EN,EN-Psy,12.pdf,0.2505046797577537,0.15112864745824922,21.45275590551181,0.3043773905652359,0.0056948576285592864,0.19881889763779528,38.427180595876166,8.405211965498257,0.2429426860564585,F
EN,EN-Psy,13.pdf,0.2669550655874965,0.16117778397990512,17.563725490196077,0.2837528604118993,0.004195270785659802,0.15441176470588236,32.35733020992379,4.521350823332403,0.17556561085972852,F
EN,EN-Psy,14.pdf,0.24682246822468223,0.14158808254749214,18.906976744186046,0.30858732768433034,0.005311749083090932,0.18087855297157623,37.787838038845535,5.753724203908705,0.16651638112413586,M
EN,EN-Psy,15.pdf,0.2175046150504941,0.11966554457595831,20.69438202247191,0.27829770465963943,0.004137523396709684,0.35280898876404493,29.41804023177133,3.26854164404387,0.11362617660242043,F
EN,EN-Psy,16.pdf,0.2445092322643343,0.13790087463556852,16.153846153846153,0.23076248135474248,0.004123892252347109,0.13186813186813187,37.12292778649922,2.7113702623906706,0.1415679639029893,M
EN,EN-Psy,17.pdf,0.28893058161350843,0.1651031894934334,16.730941704035875,0.26676279740447006,0.005046863734679163,0.2825112107623318,35.9813171669193,5.2264808362369335,0.13082437275985664,M
EN,EN-Psy,18.pdf,0.2826638793489622,0.1745557712408541,23.416083916083917,0.28270042194092826,0.0025052742616033757,0.14685314685314685,24.79480637661578,3.1357324175003733,0.18229007633587788,F
